Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,KryptiesTipas,KryptiesPavadinimas,ReisoIdGTFS,
Autobusai,11,22796702332,7001,25271814,54631845,0,282,1412,0,58320,KWZ,A>D,Autobusų parkas (Kirtimai),,
Autobusai,3,22612552250,4031,25294204,54721046,0,98,1370,0,59542,KZ,A>D,Autobusų parkas (Verkių g.),,
Autobusai,2G,,4170,25293529,54720264,0,96,,,59537,KWNZD,D>A,Santariškės,,
Autobusai,59,22803481454,3123,25216830,54703193,0,108,894,0,58050,KWNZ,B>D,2-asis troleibusų parkas (Justiniškių g.),,
Autobusai,89,,4612,25295110,54720703,0,358,,,59539,KWNZ,A>D,Autobusų parkas (Verkių g.),,
Autobusai,29,,4515,25292015,54720087,0,164,,,59530,KWNZ,A>D,Autobusų parkas (Verkių g.),,
Autobusai,42,,940,25293108,54720172,0,286,,,59549,Z,A>D,Autobusų parkas (Verkių g.),,
Autobusai,24,,4526,25292386,54720176,0,176,,,59549,KWNZ,A>D,Autobusų parkas (Verkių g.),,
Autobusai,19,,4103,25292447,54720145,0,176,,,59528,KWNZ,A>D,Autobusų parkas (Verkių g.),,
Autobusai,30,23151001613,798,25217274,54702499,0,296,973,0,59543,KZ,A>D,2-asis troleibusų parkas (Justiniškių g.),,
Autobusai,9,,4543,25291932,54720179,0,176,,,59532,KWNZ,A>D,Autobusų parkas,,
Troleibusai,6,23118211623,1842,25310952,54705663,34,18,983,-120,59547,KWNZ,A>D,1-asis troleibusų parkas (Žolyno g.),,
Autobusai,2G,,4157,25292136,54720239,0,176,,,57744,KWNZD,B>D,Autobusų parkas (Verkių g.),,
Autobusai,26,22928672307,7056,25271252,54631977,0,108,1387,0,59547,KWZ,A>D,Autobusų parkas (Kirtimai),,
Autobusai,117,22559991616,586,25131321,54702317,47,294,976,51,59549,KWNZ,A>B,Platiniškės,A117-02-7-240826-ab-1620,
Autobusai,117,22560001610,585,25172673,54703635,0,298,970,0,59522,KWNZ,B>A,Pilaitė,A117-01-7-240826-ab-1640,
Autobusai,118,22560061631,581,25219646,54734572,0,144,991,62,59539,KWNZ,B>A,Pilaitė,A118-01-7-240826-ba-1630,
Autobusai,118,22560071601,563,25172039,54703578,0,32,961,0,59543,KWNZ,B>A,Pilaitė,A118-02-7-240826-ab-1630,
Autobusai,119,22560151624,562,25330514,54699890,39,108,984,-3,59543,KWNZ,A>B,Egliškės,A119-01-7-240826-ab-1620,
Autobusai,119,22560161600,565,25301076,54710929,0,88,960,0,59525,KWNZ,B>A,Šiaurės miestelis,A119-02-7-240826-ab-1650,
Autobusai,119,22560171624,566,25377436,54706116,34,260,984,-91,59546,KWNZ,B>A,Šiaurės miestelis,A119-03-7-240826-ba-1620,
Autobusai,121,22560311625,557,25301073,54771396,38,180,985,-20,59548,KWNZ,B>A,Santariškės,A121-01-7-240826-ba-1630,
Autobusai,121,22560321632,559,25280503,54755369,19,184,992,21,59548,KWNZ,A>B,Didžiųjų Gulbinų g.,A121-02-7-240826-ab-1630,
Autobusai,122,22560411548,580,25417620,54680034,0,268,948,0,59538,KWNZ,A1>B1,Naujoji Vilnia,A122-01-7-240826-ba-1640,
Autobusai,122,22560421622,572,25308680,54652132,59,130,982,78,59545,KWNZ,A1>B1,Naujoji Vilnia,A122-02-7-240826-a1b1-1620,
Autobusai,122,22560431607,570,25355322,54658567,38,194,967,18,59549,KWNZ,B>A,Naujininkai,A122-03-7-240826-ba-1610,
Autobusai,123,22560491619,584,25232962,54659433,11,216,979,88,59547,KWNZ,B>A,Žemieji Paneriai (Vaduvos g.),A123-01-7-240826-ba-1620,
Autobusai,123,22560501624,579,25233382,54659472,34,28,984,73,59541,KWNZ,A>B,Centras (Lukiškių g.),A123-02-7-240826-ab-1620,
Autobusai,22,22588331618,3122,25211757,54670691,52,260,978,-2,59544,KWNZ,B>A,Lazdynai,A22-02-7-240902-ba-1620,
Autobusai,22,22588341609,3101,25267838,54687030,39,10,969,84,59549,KWNZ,A>B,Centras,A22-01-7-240902-ab-1610,
Autobusai,54,22588611608,3125,25208858,54676716,23,58,968,0,59548,KWNZ,B>A,Pilaitė,A54-01-7-240902-ba-1610,
Autobusai,54,22588621543,3117,25283238,54671987,0,100,943,0,59542,KWNZ,A>B,Stotis,A54-02-7-240902-ba-1640,
Autobusai,54,22588631611,3118,25212317,54677809,15,256,971,13,59540,KWNZ,A>B,Stotis,A54-03-7-240902-ab-1610,
Autobusai,54,22588641625,797,25172586,54703283,0,126,985,0,59533,KZ,A>B1,Bitėnų žiedas,A54-04-7-240902-ab1-1630,
Autobusai,73,22588921546,796,25245376,54665394,0,74,946,0,59524,KZ,A>B,Vilkpėdė,A73-03-7-240902-ba-1630,
Autobusai,73,22588931616,3114,25246616,54710047,23,80,976,71,59549,KWNZ,A>B,Vilkpėdė,A73-02-7-240902-ab-1620,
Autobusai,73,22588941602,787,25226674,54716705,31,270,962,204,59550,KZ,B>A,Justiniškės,A73-01-7-240902-ba-1600,
Autobusai,5,22584891552,4525,25304588,54711337,23,276,952,76,59547,KWNZ,A>B,Šiaurės miestelis,A5-01-7-240902-ab-1550,
Autobusai,5,22584901612,973,25254166,54707427,55,330,972,61,59547,Z,B>A,Pašilaičiai,A5-03-7-240902-ba-1610,
Autobusai,24,22585251632,4537,25201440,54644083,13,276,992,9,59550,KWNZ,B>A,Fabijoniškės,A24-01-7-240902-ba-1630,
Autobusai,24,22585261608,4519,25243483,54722596,0,342,968,28,59549,KWNZ,B>A,Fabijoniškės,A24-02-7-240902-ba-1610,
Autobusai,24,22585271619,4509,25259751,54702635,41,114,979,-63,59542,KWNZ,A>B,Žemieji Paneriai,A24-03-7-240902-ab-1620,
Autobusai,40,22585851605,4503,25226061,54743692,0,336,965,0,59537,KWNZ,B>A,Fabijoniškės,A40-02-7-240902-ab-1650,
Autobusai,40,22585861621,949,25254177,54727376,34,188,981,21,59546,Z,A>B,Centras,A40-03-7-240902-ab-1620,
Autobusai,40,22585871632,4520,25226354,54743129,34,144,992,50,59551,KWNZ,A>B,Centras,A40-01-7-240902-ab-1630,
Autobusai,40,22585881629,4523,25263751,54699157,59,356,989,77,59546,KWNZ,B>A,Fabijoniškės,A40-04-7-240902-ba-1630,
Autobusai,40,22585891610,4522,25256233,54704996,49,150,970,75,59549,KWNZ,A>B,Centras,A40-05-7-240902-ab-1610,
Autobusai,40,22585901618,941,25254175,54726420,9,356,978,100,59551,Z,B>A,Fabijoniškės,A40-06-7-240902-ba-1620,
