Start,Model,Size
0,Neįvestas modelis,?
555,Altas Novus Cityline,mk
587,Neįvestas modelis,?
700,Volvo 7700A,i
710,Volvo 7700,t
730,Neįvestas modelis,?
740,Volvo 7700A,i
750,Volvo 7700,t
770,Volvo 7700A,i
780,Volvo 7700,t
923,Peugeot Boxer,mk
931,Citroen Jumper,mk
932,MAN A21 Lion’s City NL273 CNG,t
950,Solaris Urbino III 12 CNG,t
969,Castrosua Tempus Hybrid,t
970,Castrosua City Versus CNG,t
990,Neoplan Centroliner N4421,i
1000,Neįvestas modelis,?
1101,Škoda 14Tr,t
1139,Škoda 9Tr,t
1400,Škoda 14Tr,t
1600,Škoda 15Tr,i
1605,Škoda 14Tr,t
1650,Neįvestas modelis,?
1651,Škoda 14TrM,t
1674,Solaris Trollino II 15 AC,ti
1719,MAZ-ETON T203 Amber,t
1721,Solaris Trollino IV 12,t
1762,Neįvestas modelis,?
1770,Škoda 32Tr SOR,t
1861,Neįvestas modelis,?
2101,Škoda 14Tr,t
2139,Neįvestas modelis,?
2400,Škoda 14Tr,t
2600,Škoda 15Tr,i
2605,Škoda 14Tr,t
2650,Neįvestas modelis,?
2651,Škoda 14TrM,t
2674,Solaris Trollino II 15 AC,ti
2719,MAZ-ETON T203 Amber,t
2721,Solaris Trollino IV 12,t
2762,Neįvestas modelis,?
2770,Škoda 32Tr SOR,t
2861,Neįvestas modelis,?
3006,MAN A23 NG313,i
3015,MAN A23 Lion’s City GL NG313,i
3021,Neįvestas modelis,?
3030,MAN A21 Lion’s City NL273,t
3040,Neįvestas modelis,?
3101,Solaris Urbino IV 12,t
3126,Neįvestas modelis,?
4007,MAN A23 NG313,i
4018,MAN A23 Lion’s City GL NG313,i
4027,Neįvestas modelis,?
4030,MAN A21 Lion’s City NL273,t
4035,Neįvestas modelis,?
4101,Solaris Urbino IV 12,t
4139,Neįvestas modelis,?
4151,Solaris Urbino IV 18,i
4176,MAN A23 Lion’s City G NG313 CNG,i
4199,Neįvestas modelis,?
4501,Solaris Urbino IV 12,t
4539,Neįvestas modelis,?
4541,Anadolu Isuzu Novociti Life,m
4551,Solaris Urbino IV 18,i
4576,MAN A23 Lion’s City G NG313 CNG,i
4603,Neįvestas modelis,?
4611,Karsan Jest Electric,mk
4616,Neįvestas modelis,?
4637,MAN A23 Lion’s City G NG273 LPG,i
4662,Neįvestas modelis,?
7001,Anadolu Isuzu Citibus,m
7073,Anadolu Isuzu Citiport 12,t
7074,Anadolu Isuzu Citibus,m
7075,MAN A21 Lion’s City NL313 CNG,t
7080,Neįvestas modelis,?
8001,Scania Citywide LFA,i
8051,Neįvestas modelis,?
