FleetNumber;LicensePlate;Model;Size
;KJK927;Setra S315UL;t
;KPD654;Anadolu Isuzu Novo Ultra;m
;KPD655;Anadolu Isuzu Novo Ultra;m
;LDU640;Altas Ecoline;mk
;LDU642;Altas Ecoline;mk
;LDU645;Altas Ecoline;mk
;LFC367;Anadolu Isuzu Novociti;m
;LGE209;Setra S315UL;t
;LGH153;Anadolu Isuzu Novociti;m
;LGH155;Anadolu Isuzu Novociti;m
;LIK848;Anadolu Isuzu Novo Ultra;m
;LMY750;Anadolu Isuzu Novo Ultra;m
;LMZ330;Anadolu Isuzu Novo Ultra;m
;LNL759;Anadolu Isuzu Novo Ultra;m
;LRK837;Setra S415UL;t
;LYO227;Anadolu Isuzu Turquoise;m
;LYO251;Anadolu Isuzu Novo Ultra;m
;MCA719;Setra S415UL;t
;MEV311;Setra S415UL-GT;t
;MEY984;Setra S415UL;t
;MGF902;Altas Ecoline;mk
;MGF904;Altas Ecoline;mk
;MGF905;Altas Ecoline;mk
;MGF906;Altas Ecoline;mk
;MHD645;Mercedes-Benz Integro II;t
;MHD680;Mercedes-Benz Integro II;t
;MJI210;Setra S415UL-GT;t
;MJI972;Mercus TGE;mk
;MLD718;Mercus TGE;mk
;MLE270;Mercedes-Benz Integro II;t
;MLG690;Anadolu Isuzu Turquoise;m
;MLG742;Anadolu Isuzu Turquoise;m
;MPJ265;Solaris Urbino III 12 LE;t
;MRA887;Anadolu Isuzu Novociti Life;m
;MRA890;Anadolu Isuzu Novociti Life;m
;MSR429;Anadolu Isuzu Novociti Life;m
;MYL865;Mercus TGE;mk
;MYL867;Mercus TGE;mk
;MZD103;Anadolu Isuzu Novociti Life;m
;MZD336;Anadolu Isuzu Novociti Life;m
;MZV152;Solaris Urbino III 12 LE;t
;NBV763;Anadolu Isuzu Novociti Life;m
;NCC156;Solaris Urbino III 12 LE;t
;NCU689;Anadolu Isuzu Novociti Life;m
;NEF456;Solaris Urbino III 12 LE;t
;NFY499;Volkswagen Crafter II;mk
;NFY506;Volkswagen Crafter II;mk
02;FBF499;Altas;mk
03;FBF502;Altas;mk
04;MGC639;Altas;mk
05;FBF504;Altas;mk
08;FBF510;Altas;mk
09;FBF511;Altas;mk
10;FBF512;Altas;mk
15;FAL132;Volvo B10-400;t
16;FCR239;Neoplan N516SHD Starliner;t
20;EOZ921;Forveda;mk
21;EOZ922;Forveda;mk
22;EOZ924;Forveda;mk
23;EOZ925;Forveda;mk
24;EOZ926;Forveda;mk
32;GHT967;Mercedes-Benz Vario O815D;m
35;HDG541;Ernst Auwärter Teamstar;m
36;HEL820;Mercedes-Benz Vario O815D;m
37;KCZ860;Anadolu Isuzu Novo Ultra;m
38;HFN733;Setra S315UL-GT;t
40;HOZ648;Kutsenits;mk
41;HTT341;Altas Ecoline;mk
42;HTT342;Altas Ecoline;mk
43;HUV643;Kutsenits;mk
44;JAG466;Setra S315UL;t
45;JDN234;Altas Ecoline;mk
46;JDV699;Anadolu Isuzu Novociti;m
47;JHG619;Anadolu Isuzu Turquoise;m
48;JZD379;Mercedes-Benz O550 Integro;t
49;JZZ837;Setra S315UL;t
51;KBE543;Altas Ecoline;mk
52;KBE546;Altas Ecoline;mk
53;KBE559;Altas Ecoline;mk
54;KBO761;Mercedes-Benz O550 Integro;t
;DBM 164;Ford Transit;mk
;DGP 460;Ford Transit;mk
;DGR 451;Ford Transit;mk
;EA 8675;Anadolu Isuzu Novociti Volt;m
;FTU 417;Setra S317HDH;t
;GND 741;Setra S215UL;t
;HGB 345;Setra S415HDH;t
;HGD 056;Žaibas;mk
;HNP 435;Anadolu Isuzu Novo Ultra;m
;HNP 439;Anadolu Isuzu Novo Ultra;m
;HOB 429;Mercedes-Benz O550 Integro;t
;JOF 781;Anadolu Isuzu Novo Ultra;m
;JOF 783;Anadolu Isuzu Novo Ultra;m
;JRC 974;Neoplan N4409 Centroliner;m
;JRN 623;Setra S315UL;t
;JTR 493;Mercedes-Benz Tourismo II;t
;JUS 296;Setra S315UL;t
;KNH 659;Anadolu Isuzu Novo Ultra;m
;KNH 661;Anadolu Isuzu Novo Ultra;m
;KTB 082;Van Hool New A308;m
;LGC 013;Mercedes-Benz O550 Integro;m
;LMY 692;Forveda;mk
;LMY 693;Forveda;mk
;LNL 772;Anadolu Isuzu Visigo;m
;LOG 513;Mercedes-Benz Intouro II;t
;LOG 573;Mercedes-Benz Intouro II;t
;LOY 207;Setra S315UL;t
;MBI 489;Mercedes-Benz Intouro II;t
;MBI 533;Mercedes-Benz Intouro II;t
;MBI 578;Mercedes-Benz Intouro II;t
;MCP 227;Anadolu Isuzu Grand Toro;m
;MDE 604;Anadolu Isuzu Turquoise;m
;MHS 876;Mercedes-Benz O550 Integro;t
;MIO 104;Irisbus Daily;mk
;MIP 318;Irisbus Daily;mk
;MJN 567;Anadolu Isuzu Novociti Life;m
;MJN 714;Mercedes-Benz Intouro II;t
;MJN 891;Mercedes-Benz Intouro II;t
;MRP 187;Mercedes-Benz Tourismo II;t
;MSM 682;Setra S315UL;t
;MTK 813;Setra S316UL;t
;MTZ 134;Mercedes-Benz Intouro II;t
;NBN 904;Mercedes-Benz Intouro II;t
;NDZ 910;Mercedes-Benz Integro;t
;NFO 072;Setra S415NF;t
;NFR 291;Mercedes-Benz Sprinter;mk
;FTF 134;Setra S315UL;t
