stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
6726,0012,"Iš parko","",54.71012,25.32164,https://www.stops.lt/vilnius/index.html#stop/0012,,
6876,110107,"pietūs Antakalnio žiede","",54.72222,25.31814,https://www.stops.lt/vilnius/index.html#stop/110107,,
3104,330509,"Skalvių žiedas","",54.73530,25.21980,https://www.stops.lt/vilnius/index.html#stop/330509,,
7572,0824,"Verkių TD","",54.72122,25.29310,https://www.stops.lt/vilnius/index.html#stop/0824,,
9483,3906,"1-asis Lentvaris","iš miesto",54.64437,25.06552,https://www.stops.lt/vilnius/index.html#stop/3906,,
15578,010109,"A88 GP Lvivo g.","",54.69740,25.27606,https://www.stops.lt/vilnius/index.html#stop/010109,,
8840,0010,"Antakalnio TD","",54.70917,25.32134,https://www.stops.lt/vilnius/index.html#stop/0010,,
15371,260308,"AP","",54.63184,25.27179,https://www.stops.lt/vilnius/index.html#stop/260308,,
18116,510607,"atstova","",54.69842,25.24540,https://www.stops.lt/vilnius/index.html#stop/510607,,
17111,400221,"Atstova Dariaus ir Girėno g.","",54.63971,25.27490,https://www.stops.lt/vilnius/index.html#stop/400221,,
9867,020111,"Atstova J.Jasinskio g.","",54.68870,25.26062,https://www.stops.lt/vilnius/index.html#stop/020111,,
17024,040420,"Atstova Seinų g.","",54.67168,25.28564,https://www.stops.lt/vilnius/index.html#stop/040420,,
9102,1631,"Bijūnų st.","link žiedo",54.66740,25.21588,https://www.stops.lt/vilnius/index.html#stop/1631,,
18075,3008regio,"Bratoniškės","link miesto",54.84986,25.37356,https://www.stops.lt/vilnius/index.html#stop/3008regio,,
10247,380609,"Fabijoniškių žiedas","",54.74025,25.24113,https://www.stops.lt/vilnius/index.html#stop/380609,,
16291,2145,"Geležinio Vilko st.","",54.75762,25.27183,https://www.stops.lt/vilnius/index.html#stop/2145,,
16295,2146,"Geležinio Vilko st.","",54.75848,25.27229,https://www.stops.lt/vilnius/index.html#stop/2146,,
16287,230705,"Gerovės g.","",54.69063,25.42228,https://www.stops.lt/vilnius/index.html#stop/230705,,
8258,3890,"Kaimelio žiedas","išlaipinimas",54.73141,25.24430,https://www.stops.lt/vilnius/index.html#stop/3890,,
18415,050508,"Kaimelio žiedas","",54.73127,25.24388,https://www.stops.lt/vilnius/index.html#stop/050508,,
17047,130112,"Liepkalnio atstova","",54.66834,25.29636,https://www.stops.lt/vilnius/index.html#stop/130112,,
18412,010304,"Meškoniių įkrovimo vieta","",54.68001,25.41770,https://www.stops.lt/vilnius/index.html#stop/010304,,
18426,2241,"Naujaneriai","",54.80143,25.34802,https://www.stops.lt/vilnius/index.html#stop/2241,,
18427,2242,"Naujaneriai","",54.80145,25.34816,https://www.stops.lt/vilnius/index.html#stop/2242,,
8822,231106,"Naujosios Vilnios žiedas","",54.68550,25.43102,https://www.stops.lt/vilnius/index.html#stop/231106,,
18375,6015,"Oro uostas","",54.64396,25.27959,https://www.stops.lt/vilnius/index.html#stop/6015,,
10310,2300,"Skirgiškės","link miesto",54.82865,25.36410,https://www.stops.lt/vilnius/index.html#stop/2300,,
18440,5007a,"Tarandė","iš centro",54.74980,25.20762,https://www.stops.lt/vilnius/index.html#stop/5007a,,
16037,270305,"TRANSREVIO AP2","",54.62682,25.24264,https://www.stops.lt/vilnius/index.html#stop/270305,,
16693,260502,"TRANSREVIO AP2","",54.63387,25.25458,https://www.stops.lt/vilnius/index.html#stop/260502,,
17461,400220,"UAB ""KAUTRA""","",54.63377,25.26274,https://www.stops.lt/vilnius/index.html#stop/400220,,
17537,510506,"UAB Kautra","",54.86334,25.49296,https://www.stops.lt/vilnius/index.html#stop/510506,,
10359,1523,"Vikingų slėnis","visos kryptys",54.65304,25.28045,https://www.stops.lt/vilnius/index.html#stop/1523,,
8841,0020,"Viršuliškių TD","",54.70425,25.21551,https://www.stops.lt/vilnius/index.html#stop/0020,,
16032,240410,"Žemųjų Panerių GP","",54.64627,25.20955,https://www.stops.lt/vilnius/index.html#stop/240410,,
18073,2929,"Plungės st.","",54.66163,25.14856,https://www.stops.lt/vilnius/index.html#stop/2929,,
16307,1029,"Kairėnai","iš miesto",54.73719,25.40245,https://www.stops.lt/vilnius/index.html#stop/1029,,
9481,3904,"Bališkės","link miesto",54.64632,25.09966,https://www.stops.lt/vilnius/index.html#stop/3904,,
9482,3905,"Bališkės","iš miesto",54.64613,25.09864,https://www.stops.lt/vilnius/index.html#stop/3905,,
18187,3542a,"Šilas","iš centro",54.78181,25.38366,https://www.stops.lt/vilnius/index.html#stop/3542a,,
18188,3543a,"Šilas","",54.78211,25.38397,https://www.stops.lt/vilnius/index.html#stop/3543a,,
8291,3838,"Mykolo Lietuvio st.","išlaipinimas",54.74380,25.22603,https://www.stops.lt/vilnius/index.html#stop/3838,,
16323,3837,"Mykolo Lietuvio st.","",54.74254,25.22692,https://www.stops.lt/vilnius/index.html#stop/3837,,
1017,1118,"Antakalnio žiedas","visos kryptys, troleibusai",54.72291,25.31872,https://www.stops.lt/vilnius/index.html#stop/1118,,
5483,1118a,"Antakalnio žiedas","visos kryptys, autobusai",54.72232,25.31887,https://www.stops.lt/vilnius/index.html#stop/1118a,,
5485,1118c,"Antakalnio žiedas","visos kryptys",54.72274,25.31912,https://www.stops.lt/vilnius/index.html#stop/1118c,,
5118,1115,"Antakalnis","link centro",54.71960,25.31724,https://www.stops.lt/vilnius/index.html#stop/1115,,
6711,1116,"Antakalnis","iš centro",54.72106,25.31821,https://www.stops.lt/vilnius/index.html#stop/1116,,
5095,1110,"Klinikų st.","iš centro",54.71125,25.31486,https://www.stops.lt/vilnius/index.html#stop/1110,,
5096,1109,"Klinikų st.","link centro",54.71058,25.31437,https://www.stops.lt/vilnius/index.html#stop/1109,,
5820,1103,"Leono Sapiegos st.","link centro",54.69630,25.30809,https://www.stops.lt/vilnius/index.html#stop/1103,,
5826,1104,"Leono Sapiegos st.","iš centro",54.69697,25.30873,https://www.stops.lt/vilnius/index.html#stop/1104,,
5819,1105,"Petro Vileišio st.","link centro",54.70165,25.30922,https://www.stops.lt/vilnius/index.html#stop/1105,,
6702,1106,"Petro Vileišio st.","iš centro",54.70313,25.31002,https://www.stops.lt/vilnius/index.html#stop/1106,,
5092,1108,"Šilo tiltas","iš centro",54.70545,25.31096,https://www.stops.lt/vilnius/index.html#stop/1108,,
5818,1107,"Šilo tiltas","link centro",54.70447,25.31024,https://www.stops.lt/vilnius/index.html#stop/1107,,
1035,1113,"Tverečiaus st.","link centro",54.71619,25.31646,https://www.stops.lt/vilnius/index.html#stop/1113,,
5119,1114,"Tverečiaus st.","iš centro",54.71750,25.31659,https://www.stops.lt/vilnius/index.html#stop/1114,,
5476,1121,"Lizdeikos st.","link Antakalnio",54.72728,25.31552,https://www.stops.lt/vilnius/index.html#stop/1121,,
5490,1132,"Lizdeikos st.","link Žirmūnų",54.72720,25.31625,https://www.stops.lt/vilnius/index.html#stop/1132,,
741,1119,"Nemenčinės plentas","link Saulėtekio",54.72278,25.32004,https://www.stops.lt/vilnius/index.html#stop/1119,,
5117,1117,"Nemenčinės plentas","link centro",54.72385,25.32007,https://www.stops.lt/vilnius/index.html#stop/1117,,
3566,1021,"Saulėtekis","link Nemenčinės",54.72719,25.32671,https://www.stops.lt/vilnius/index.html#stop/1021,,
5103,1122,"Saulėtekis","link centro",54.72622,25.32482,https://www.stops.lt/vilnius/index.html#stop/1122,,
5107,1003,"Gedimino technikos universitetas","iš centro",54.72385,25.33566,https://www.stops.lt/vilnius/index.html#stop/1003,,
5116,1002,"Gedimino technikos universitetas","link centro",54.72412,25.33451,https://www.stops.lt/vilnius/index.html#stop/1002,,
5104,1001,"Saulėtekis","iš centro",54.72624,25.32752,https://www.stops.lt/vilnius/index.html#stop/1001,,
5105,1023,"Vilniaus universitetas","link Saulėtekio",54.72454,25.33199,https://www.stops.lt/vilnius/index.html#stop/1023,,
6715,1022,"Vilniaus universitetas","link centro",54.72489,25.33134,https://www.stops.lt/vilnius/index.html#stop/1022,,
5091,1129,"Šilo tiltas","link Šilo tilto",54.70519,25.31007,https://www.stops.lt/vilnius/index.html#stop/1129,,
6886,1126,"Lyglaukiai","link centro",54.70277,25.35406,https://www.stops.lt/vilnius/index.html#stop/1126,,
6880,1128,"Viršupis","link centro",54.69579,25.34397,https://www.stops.lt/vilnius/index.html#stop/1128,,
4520,1130,"Bistryčios st.","iš centro",54.70840,25.33044,https://www.stops.lt/vilnius/index.html#stop/1130,,
4521,1131,"Bistryčios st.","link Antakalnio",54.70839,25.32956,https://www.stops.lt/vilnius/index.html#stop/1131,,
6720,1112,"Klinikų st.","link centro",54.71161,25.31573,https://www.stops.lt/vilnius/index.html#stop/1112,,
6723,1111,"Klinikų st.","iš centro",54.71134,25.31669,https://www.stops.lt/vilnius/index.html#stop/1111,,
1167,1125,"Žolyno st.","link centro",54.70782,25.33847,https://www.stops.lt/vilnius/index.html#stop/1125,,
9755,2299,"Mileišiškės","link centro",54.71176,25.34174,https://www.stops.lt/vilnius/index.html#stop/2299,,
9756,2298,"Mileišiškės","iš centro",54.71172,25.34209,https://www.stops.lt/vilnius/index.html#stop/2298,,
9612,2399,"Mileišiškių sodai","iš centro",54.71312,25.34809,https://www.stops.lt/vilnius/index.html#stop/2399,,
9613,2400,"Mileišiškių sodai","link centro",54.71297,25.34743,https://www.stops.lt/vilnius/index.html#stop/2400,,
10530,2297,"Žilvičių st.","link centro",54.70684,25.38076,https://www.stops.lt/vilnius/index.html#stop/2297,,
10531,2296,"Žilvičių st.","iš centro",54.70689,25.38114,https://www.stops.lt/vilnius/index.html#stop/2296,,
17246,1143,"Saulės slėnis","iš centro",54.70241,25.32416,https://www.stops.lt/vilnius/index.html#stop/1143,,
17248,1145,"Saulės slėnis","į centrą",54.70233,25.32467,https://www.stops.lt/vilnius/index.html#stop/1145,,
17239,1139,"Šilo tiltas","iš centro",54.70488,25.31085,https://www.stops.lt/vilnius/index.html#stop/1139,,
17241,1140,"Vinco Grybo st.","iš centro",54.70387,25.31720,https://www.stops.lt/vilnius/index.html#stop/1140,,
17242,1141,"Vinco Grybo st.","į centrą",54.70401,25.31701,https://www.stops.lt/vilnius/index.html#stop/1141,,
9608,2395,"Anapilio st.","link centro",54.70764,25.35853,https://www.stops.lt/vilnius/index.html#stop/2395,,
9609,2396,"Anapilio st.","iš centro",54.70771,25.35840,https://www.stops.lt/vilnius/index.html#stop/2396,,
9968,1047,"Sapieginės miškas","link N.Vilnios",54.71025,25.35687,https://www.stops.lt/vilnius/index.html#stop/1047,,
9969,1048,"Sapieginės miškas","link centro",54.70983,25.35769,https://www.stops.lt/vilnius/index.html#stop/1048,,
17889,1127,"Šilo st.","link centro",54.70037,25.34960,https://www.stops.lt/vilnius/index.html#stop/1127,,
9675,2397,"Viršupio sodai","iš centro",54.71267,25.35319,https://www.stops.lt/vilnius/index.html#stop/2397,,
9676,2398,"Viršupio sodai","link centro",54.71332,25.35260,https://www.stops.lt/vilnius/index.html#stop/2398,,
11046,1136,"Vieversių st.","link centro",54.71065,25.32032,https://www.stops.lt/vilnius/index.html#stop/1136,,
11047,1137,"Vieversių st.","iš centro",54.70983,25.32257,https://www.stops.lt/vilnius/index.html#stop/1137,,
8266,1134,"Žolyno st.","iš centro",54.70782,25.33774,https://www.stops.lt/vilnius/index.html#stop/1134,,
7189,5124,"Agrastų st.","iš miesto",54.62943,25.17703,https://www.stops.lt/vilnius/index.html#stop/5124,,
7187,5123,"Margirio st.","link A.Panerių",54.61288,25.18688,https://www.stops.lt/vilnius/index.html#stop/5123,,
7188,5118,"Margirio st.","iš miesto",54.61256,25.18706,https://www.stops.lt/vilnius/index.html#stop/5118,,
7910,2810a,"Chemijos st.","link miesto",54.62689,25.14704,https://www.stops.lt/vilnius/index.html#stop/2810a,,
5747,2811,"Chemijos st.","link Galvės g.",54.62628,25.15099,https://www.stops.lt/vilnius/index.html#stop/2811,,
5750,2813,"Prekybos st.","iš miesto",54.62063,25.15741,https://www.stops.lt/vilnius/index.html#stop/2813,,
5751,2812,"Prekybos st.","link miesto",54.62128,25.15673,https://www.stops.lt/vilnius/index.html#stop/2812,,
7180,2822,"Kazbėjų žiedas","visos kryptys",54.61660,25.13801,https://www.stops.lt/vilnius/index.html#stop/2822,,
6449,2801,"Fermentų st.","link miesto",54.62471,25.14078,https://www.stops.lt/vilnius/index.html#stop/2801,,
6450,2802,"Fermentų st.","iš miesto",54.62549,25.13989,https://www.stops.lt/vilnius/index.html#stop/2802,,
6455,2807,"Kazbėjų st.","iš miesto",54.61584,25.14953,https://www.stops.lt/vilnius/index.html#stop/2807,,
6456,2806,"Kazbėjų st.","link Galvės g.",54.61645,25.14909,https://www.stops.lt/vilnius/index.html#stop/2806,,
6457,2808,"Slėnis","iš miesto",54.61215,25.15422,https://www.stops.lt/vilnius/index.html#stop/2808,,
6458,2809,"Slėnis","link miesto",54.61227,25.15440,https://www.stops.lt/vilnius/index.html#stop/2809,,
4531,2821,"Vytauto Andriaus Graičiūno st.","į miestą",54.60814,25.16000,https://www.stops.lt/vilnius/index.html#stop/2821,,
6454,2805,"Vokės st.","link Baltosios Vokės",54.61923,25.14521,https://www.stops.lt/vilnius/index.html#stop/2805,,
6469,2804,"Vokės st.","link Galvės g. I",54.61976,25.14492,https://www.stops.lt/vilnius/index.html#stop/2804,,
9311,2949,"Kadugių st.","link Baltosios Vokės",54.62743,25.17996,https://www.stops.lt/vilnius/index.html#stop/2949,,
9312,2950,"Kadugių st.","link Ž. Panerių",54.62674,25.18154,https://www.stops.lt/vilnius/index.html#stop/2950,,
9308,2947,"Vasarotojų st.","link Baltosios Vokės",54.62322,25.19010,https://www.stops.lt/vilnius/index.html#stop/2947,,
9310,2948,"Vasarotojų st.","link Ž. Panerių",54.62365,25.18902,https://www.stops.lt/vilnius/index.html#stop/2948,,
9200,5111,"Baltoji Vokė","iš miesto",54.60365,25.19329,https://www.stops.lt/vilnius/index.html#stop/5111,,
9201,5110,"Baltoji Vokė","link miesto",54.60240,25.19557,https://www.stops.lt/vilnius/index.html#stop/5110,,
9726,2814,"Juodšilių st.","link Galvės g.",54.61669,25.16242,https://www.stops.lt/vilnius/index.html#stop/2814,,
9727,2820,"Juodšilių st.","link Baltosios Vokės",54.61606,25.16298,https://www.stops.lt/vilnius/index.html#stop/2820,,
9115,2802a,"Fermentų st.","link miesto",54.62654,25.13932,https://www.stops.lt/vilnius/index.html#stop/2802a,,
9298,2823,"Vilniaus Pergalė","link miesto",54.61410,25.15204,https://www.stops.lt/vilnius/index.html#stop/2823,,
10577,2825,"Vilniaus Pergalė","iš miesto",54.61403,25.15191,https://www.stops.lt/vilnius/index.html#stop/2825,,
16749,2828,"Vytauto Andriaus Graičiūno st.","iš miesto",54.60815,25.15942,https://www.stops.lt/vilnius/index.html#stop/2828,,
9303,2946,"Zuikių st.","iš miesto",54.63242,25.19844,https://www.stops.lt/vilnius/index.html#stop/2946,,
7080,4902,"1-osios Bukiškės","link Riešės",54.76356,25.20003,https://www.stops.lt/vilnius/index.html#stop/4902,,
7082,4901,"2-osios Bukiškės","link centro",54.76309,25.19852,https://www.stops.lt/vilnius/index.html#stop/4901,,
9970,2154,"Bajorų miškas","link Bajorų",54.75623,25.24332,https://www.stops.lt/vilnius/index.html#stop/2154,,
9971,2155,"Bajorų miškas","link miesto",54.75626,25.24250,https://www.stops.lt/vilnius/index.html#stop/2155,,
9693,2150,"Mokslininkų st.","link Bajorų",54.75445,25.24977,https://www.stops.lt/vilnius/index.html#stop/2150,,
9694,2149,"Mokslininkų st.","link miesto",54.75454,25.24930,https://www.stops.lt/vilnius/index.html#stop/2149,,
9815,2152,"Riaubonių st.","link Santariškių",54.75526,25.23294,https://www.stops.lt/vilnius/index.html#stop/2152,,
15548,2157,"Bajorai","link Santariškių",54.75682,25.23783,https://www.stops.lt/vilnius/index.html#stop/2157,,
15550,2153,"Šaulio st.","link Santariškių",54.75759,25.22938,https://www.stops.lt/vilnius/index.html#stop/2153,,
15551,2158,"Šaulio st.","link Bukiškių",54.75772,25.22900,https://www.stops.lt/vilnius/index.html#stop/2158,,
9496,2148,"Bajorai","link Santariškių",54.75673,25.23716,https://www.stops.lt/vilnius/index.html#stop/2148,,
9053,2261,"Ragės st.","iš miesto",54.78495,25.35139,https://www.stops.lt/vilnius/index.html#stop/2261,,
