ID;Direction;Lat;Lng;Stops;Name;Info;Street;Area;City;Pikas2024.6.24;2024.12.31 11:34:57
id18505;;0;0;;;;
3906;iš miesto;5464437;2506552;3907,3921;1-asis Lentvaris;;
0032;;0;0;;AP į parką;;
0031;;0;0;;AP iš parko;;
0018;;5472120;2529556;5177,0813;AP vartai (atvykimas);;
1631;link žiedo;5466740;2521588;1651,1630;Bijūnų st.;;
3008regio;link miesto;5484986;2537356;3009regio,2300;Bratoniškės;;
0914b;;5470223;2528355;0705,0704,5185;Broniaus Laurinavičiaus skveras (laikina);;
2941b;;5460812;2508546;2941a;Dobrovolės st.;laikina;
2952;;5466814;2516225;2944;Elektrinės laikinoji st.;0;
6016;;5462572;2506645;6006,3907;Fabriko st.;;
2953;;5465793;2515483;2927,2925,2929;Gariūnų laikinoji st.;;
2145;;5475762;2527183;2146a,2145a;Geležinio Vilko st.;;
2146;;5475848;2527229;2146a,5115;Geležinio Vilko st.;;
3578;;5475317;2541434;3575,3574,3530;Inovacijų pramonės parkas (laikina);;
0826;;5471555;2527796;0827;Išlaipinama;;
0609b;;5468193;2523434;1672,0616;Išleidimo st.;laikina;
5305;;5445269;2528013;5304;Jašiūnai;0;
3890;išlaipinimas;5473141;2524430;3813,3839,3812;Kaimelio žiedas;;
1015;;5473646;2540379;3526,1016;Kairėnai;;
3526;;5473664;2540210;1029,1015,1014;Kairėnai;;
4333a;;5460352;2534220;4333b;Katalikų kapinės;laikina;
4333b;;5460300;2534245;4333a,4332;;;
6011;;5463538;2513156;6012,3920;Laikina st. 1 (Ižos g.);0;
6009;;5464658;2512772;6010,2935;Laikina st. 1 (Liudvinavos g.);;
6013;;5463553;2513598;6014,2917;Laikina st. 1 (Žarijų g.);;
6012;;5463529;2513190;6011,6014;Laikina st. 2 (Ižos g.);;
6010;;5464645;2512760;6009,3901;Laikina st. 2 (Liudvinavos g.);;
6014;;5463529;2513581;6013,6012,2914;Laikina st. 2 (Žarijų g.);;
3125;;5464443;2504579;3126,3006;Lentvario geležinkelio stotis;;
3126;;5464423;2504583;3125,6003;;;
4906;;5476234;2520993;4905,4911;Liepų st. (laikina);;
0237b;;5469174;2526415;0237a,0227;Media centre arrivals/departures;;
3562;;5481068;2541624;3549,2300;Miškonys;;
3221;;5471741;2522023;3211,3209,3222;Mykolo Biržiškos gimnazija;;
3222;;5471858;2521516;3208,3207,3221;;;
2241;;5480143;2534802;2242,2264,2238;Naujaneriai;;
