route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,direction_name,non_revenue_trip,bikes_allowed
vilnius_nightbus_N1,450858,AN1-01-5-250425-ab-2400,"Saulėtekis",0,AN1-01-5-250425-2408018,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0,0
vilnius_nightbus_N1,450858,AN1-02-5-250425-ab-2430,"Saulėtekis",0,AN1-02-5-250425-2408019,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0,0
vilnius_nightbus_N1,450858,AN1-01-5-250425-ab-2500,"Saulėtekis",0,AN1-01-5-250425-2408018,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0,0
vilnius_nightbus_N1,450858,AN1-02-5-250425-ab-2530,"Saulėtekis",0,AN1-02-5-250425-2408019,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0,0
vilnius_nightbus_N1,450858,AN1-01-5-250425-ab-2600,"Saulėtekis",0,AN1-01-5-250425-2408018,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0,0
vilnius_nightbus_N1,450858,AN1-02-5-250425-ab-2630,"Saulėtekis",0,AN1-02-5-250425-2408019,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0,0
vilnius_nightbus_N1,450858,AN1-01-5-250425-ab-2700,"Saulėtekis",0,AN1-01-5-250425-2408018,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0,0
vilnius_nightbus_N1,450858,AN1-02-5-250425-ab-2730,"Saulėtekis",0,AN1-02-5-250425-2408019,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0,0
vilnius_nightbus_N1,450859,AN9-03-5-250425-ab-2800,"Saulėtekis",0,AN9-03-5-250425-2408022,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0,0
vilnius_nightbus_N1,450858,AN1-01-5-250425-ba-2430,"Centras",1,AN1-01-5-250425-2408018,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0,0
vilnius_nightbus_N1,450858,AN1-02-5-250425-ba-2500,"Centras",1,AN1-02-5-250425-2408019,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0,0
vilnius_nightbus_N1,450858,AN1-01-5-250425-ba-2530,"Centras",1,AN1-01-5-250425-2408018,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0,0
vilnius_nightbus_N1,450858,AN1-02-5-250425-ba-2600,"Centras",1,AN1-02-5-250425-2408019,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0,0
vilnius_nightbus_N1,450858,AN1-01-5-250425-ba-2630,"Centras",1,AN1-01-5-250425-2408018,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0,0
vilnius_nightbus_N1,450858,AN1-02-5-250425-ba-2700,"Centras",1,AN1-02-5-250425-2408019,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0,0
vilnius_nightbus_N1,450858,AN1-01-5-250425-ba-2730,"Centras",1,AN1-01-5-250425-2408018,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0,0
vilnius_nightbus_N1,450858,AN1-01-5-250425-ad-2750,"Autobusų parkas (Verkių g.)",0,AN1-01-5-250425-2408018,vilnius_nightbus_N1_a-d,1,"Centras–Kalvarijų g.–Autobusų parkas (Verkių g.)",1,0
vilnius_nightbus_N1,450858,AN1-02-5-250425-bd-2750,"Autobusų parkas (Verkių g.)",1,AN1-02-5-250425-2408019,vilnius_nightbus_N1_b-d,1,"Saulėtekis–Autobusų parkas (Verkių g.)",1,0
vilnius_nightbus_N1,450859,AN9-03-5-250425-bd-2820,"Autobusų parkas (Verkių g.)",1,AN9-03-5-250425-2408022,vilnius_nightbus_N1_b-d,1,"Saulėtekis–Autobusų parkas (Verkių g.)",1,0
vilnius_nightbus_N1,450858,AN1-02-5-250425-da-2400,"Centras",0,AN1-02-5-250425-2408019,vilnius_nightbus_N1_d-a,1,"Autobusų parkas (Verkių g.)–Antakalnis–Centras",1,0
vilnius_nightbus_N1,450858,AN1-01-5-250425-da1-2340,"Centras",0,AN1-01-5-250425-2408018,vilnius_nightbus_N1_d-a1,1,"Autobusų parkas (Verkių g.)–Kalvarijų g.–Centras",1,0
vilnius_nightbus_N2,450715,AN2-01-5-250425-ab-2400,"Pilaitė",0,AN2-01-5-250425-2407037,vilnius_nightbus_N2_a-b,1,"Centras–Lazdynai–Karoliniškės–Pilaitė",0,0
vilnius_nightbus_N2,450715,AN2-02-5-250425-ab-2430,"Pilaitė",0,AN2-02-5-250425-2407038,vilnius_nightbus_N2_a-b,1,"Centras–Lazdynai–Karoliniškės–Pilaitė",0,0
vilnius_nightbus_N2,450715,AN2-03-5-250425-ab-2500,"Pilaitė",0,AN2-03-5-250425-2407039,vilnius_nightbus_N2_a-b,1,"Centras–Lazdynai–Karoliniškės–Pilaitė",0,0
vilnius_nightbus_N2,450715,AN2-01-5-250425-ab-2530,"Pilaitė",0,AN2-01-5-250425-2407037,vilnius_nightbus_N2_a-b,1,"Centras–Lazdynai–Karoliniškės–Pilaitė",0,0
vilnius_nightbus_N2,450715,AN2-02-5-250425-ab-2600,"Pilaitė",0,AN2-02-5-250425-2407038,vilnius_nightbus_N2_a-b,1,"Centras–Lazdynai–Karoliniškės–Pilaitė",0,0
vilnius_nightbus_N2,450715,AN2-03-5-250425-ab-2630,"Pilaitė",0,AN2-03-5-250425-2407039,vilnius_nightbus_N2_a-b,1,"Centras–Lazdynai–Karoliniškės–Pilaitė",0,0
vilnius_nightbus_N2,450715,AN2-01-5-250425-ab-2700,"Pilaitė",0,AN2-01-5-250425-2407037,vilnius_nightbus_N2_a-b,1,"Centras–Lazdynai–Karoliniškės–Pilaitė",0,0
vilnius_nightbus_N2,450715,AN2-02-5-250425-ab-2730,"Pilaitė",0,AN2-02-5-250425-2407038,vilnius_nightbus_N2_a-b,1,"Centras–Lazdynai–Karoliniškės–Pilaitė",0,0
vilnius_nightbus_N2,450715,AN2-03-5-250425-ab-2800,"Pilaitė",0,AN2-03-5-250425-2407039,vilnius_nightbus_N2_a-b,1,"Centras–Lazdynai–Karoliniškės–Pilaitė",0,0
vilnius_nightbus_N2,450715,AN2-01-5-250425-ab1-2440,"Bitėnų žiedas",0,AN2-01-5-250425-2407037,vilnius_nightbus_N2_a-b1,1,"Bitėnų st. - Bitėnų žiedas",1,0
vilnius_nightbus_N2,450715,AN2-02-5-250425-ab1-2510,"Bitėnų žiedas",0,AN2-02-5-250425-2407038,vilnius_nightbus_N2_a-b1,1,"Bitėnų st. - Bitėnų žiedas",1,0
vilnius_nightbus_N2,450715,AN2-03-5-250425-ab1-2540,"Bitėnų žiedas",0,AN2-03-5-250425-2407039,vilnius_nightbus_N2_a-b1,1,"Bitėnų st. - Bitėnų žiedas",1,0
vilnius_nightbus_N2,450715,AN2-01-5-250425-ab1-2610,"Bitėnų žiedas",0,AN2-01-5-250425-2407037,vilnius_nightbus_N2_a-b1,1,"Bitėnų st. - Bitėnų žiedas",1,0
vilnius_nightbus_N2,450715,AN2-02-5-250425-ab1-2640,"Bitėnų žiedas",0,AN2-02-5-250425-2407038,vilnius_nightbus_N2_a-b1,1,"Bitėnų st. - Bitėnų žiedas",1,0
vilnius_nightbus_N2,450715,AN2-03-5-250425-ab1-2710,"Bitėnų žiedas",0,AN2-03-5-250425-2407039,vilnius_nightbus_N2_a-b1,1,"Bitėnų st. - Bitėnų žiedas",1,0
vilnius_nightbus_N2,450715,AN2-01-5-250425-ba-2450,"Centras",1,AN2-01-5-250425-2407037,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0,0
vilnius_nightbus_N2,450715,AN2-02-5-250425-ba-2520,"Centras",1,AN2-02-5-250425-2407038,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0,0
vilnius_nightbus_N2,450715,AN2-03-5-250425-ba-2550,"Centras",1,AN2-03-5-250425-2407039,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0,0
vilnius_nightbus_N2,450715,AN2-01-5-250425-ba-2620,"Centras",1,AN2-01-5-250425-2407037,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0,0
vilnius_nightbus_N2,450715,AN2-02-5-250425-ba-2650,"Centras",1,AN2-02-5-250425-2407038,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0,0
vilnius_nightbus_N2,450715,AN2-03-5-250425-ba-2720,"Centras",1,AN2-03-5-250425-2407039,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0,0
vilnius_nightbus_N2,450715,AN2-01-5-250425-b1a-2450,"Bitėnų st.",1,AN2-01-5-250425-2407037,vilnius_nightbus_N2_b1-a,1,"Bitėnų žiedas - Bitėnų st.",1,0
vilnius_nightbus_N2,450715,AN2-02-5-250425-b1a-2520,"Bitėnų st.",1,AN2-02-5-250425-2407038,vilnius_nightbus_N2_b1-a,1,"Bitėnų žiedas - Bitėnų st.",1,0
vilnius_nightbus_N2,450715,AN2-03-5-250425-b1a-2550,"Bitėnų st.",1,AN2-03-5-250425-2407039,vilnius_nightbus_N2_b1-a,1,"Bitėnų žiedas - Bitėnų st.",1,0
vilnius_nightbus_N2,450715,AN2-01-5-250425-b1a-2620,"Bitėnų st.",1,AN2-01-5-250425-2407037,vilnius_nightbus_N2_b1-a,1,"Bitėnų žiedas - Bitėnų st.",1,0
vilnius_nightbus_N2,450715,AN2-02-5-250425-b1a-2650,"Bitėnų st.",1,AN2-02-5-250425-2407038,vilnius_nightbus_N2_b1-a,1,"Bitėnų žiedas - Bitėnų st.",1,0
